id,sku,skuRemake,skuNumeric,gender,msrp
318,BN09202-Tan/Black/Brown,"BN09202,Tan/Black/Brown",09202,MEN,
504,BN09203-Black/Grey,"BN09203,Black/Grey",09203,MEN,
606,BN09203-D.Brown/Brown,"BN09203,D.Brown/Brown",09203,MEN,
646,BN09203-D.Grey/L.Grey,"BN09203,D.Grey/L.Grey",09203,MEN,
148,BN09203-Grey,"BN09203,Grey",09203,MEN,
853,BN09204-Black,"BN09204,Black",09204,MEN,
894,BN09301-D.Brown/Black,"BN09301,D.Brown/Black",09301,MEN,
379,BN09301-Tan/Brown,"BN09301,Tan/Brown",09301,MEN,
268,BN09401-Tan/Black/Tan,"BN09401,Tan/Black/Tan",09401,MEN,
153,BN09401-Tan/Tan/Brown,"BN09401,Tan/Tan/Brown",09401,MEN,
125,BN09402-Coffee/Tan/Black,"BN09402,Coffee/Tan/Black",09402,MEN,
1161,BN09402-D.Brown/Tan/Black,"BN09402,D.Brown/Tan/Black",09402,MEN,
269,BN09402-D.Brown/Tan/Black/Brown,"BN09402,D.Brown/Tan/Black/Brown",09402,MEN,
387,BN09403-Nugget/Brown/Black,"BN09403,Nugget/Brown/Black",09403,MEN,
1162,BN10201-Brown/Black,"BN10201,Brown/Black",10201,MEN,
775,BN10201-Brown/Black/Brown,"BN10201,Brown/Black/Brown",10201,MEN,
425,BN10201-Cream,"BN10201,Cream",10201,MEN,
433,BN10201-Nugget/Black/L.Grey,"BN10201,Nugget/Black/L.Grey",10201,MEN,
651,BN10202-Cream/Black,"BN10202,Cream/Black",10202,MEN,
326,BN10202-Mocca/Black/Cream,"BN10202,Mocca/Black/Cream",10202,MEN,
787,BN10202-Tan/Black/Brown,"BN10202,Tan/Black/Brown",10202,MEN,
1060,BN10402-Coffee/Black/Brown,"BN10402,Coffee/Black/Brown",10402,MEN,
105,BN10402-Coffee/Tan/Black,"BN10402,Coffee/Tan/Black",10402,MEN,
7,BN22201-D.Brown,"BN22201,D.Brown",22201,MEN,
163,BN22201-Tan,"BN22201,Tan",22201,MEN,
1117,BN42201-Tan,"BN42201,Tan",42201,MEN,
1118,BN42202-D.Brown,"BN42202,D.Brown",42202,MEN,
1519,BN64605-Black/BlackBtk,"BN64605,Black/BlackBtk",64605,MEN,
1520,BN64605-Blue/BlueBtk,"BN64605,Blue/BlueBtk",64605,MEN,
1521,BN64605-Olive/OliveBtk,"BN64605,Olive/OliveBtk",64605,MEN,
1656,BN86234-Brown,"BN86234,Brown",86234,MEN,
798,BN92250-Black,"BN92250,Black",92250,MEN,
626,BT04602-Maroon/Black/White,"BT04602,Maroon/Black/White",04602,MEN,
17,BT04602-Maroon/D.Brown/White,"BT04602,Maroon/D.Brown/White",04602,MEN,
